statement_id,assumption_id,assumption,source_or_protocol_binding,code_or_test_binding,validation_kind,scope_limit
T1-bayes-risk,A1,"Y is binary with local prior pi strictly between zero and one.","IDENTIFIABILITY_THEORY.md section 1","metashift.identifiability._local_prior; tests/test_v04_identifiability_theorem.py","analytic assumption and finite-PMF test","Only the binary L/R scope task."
T1-bayes-risk,A2,"P_L and P_R are probability laws dominated by mu=P_L+P_R.","IDENTIFIABILITY_THEORY.md sections 1-2","metashift.identifiability._probability_mass_function; tests/test_v04_identifiability_theorem.py","analytic assumption and discrete analogue test","No claim for non-probability scores or unobserved variables."
T1-bayes-risk,A3,"Loss is zero-one classification loss.","IDENTIFIABILITY_THEORY.md section 1","metashift.identifiability.discrete_binary_bayes_error; tests/test_v04_identifiability_theorem.py","analytic assumption and discrete analogue test","Does not optimize rejection cost or utility."
T1-balanced-tv,A4,"Priors are exactly balanced only for the ordinary-TV specialization.","IDENTIFIABILITY_THEORY.md section 2","metashift.identifiability.discrete_total_variation_distance; tests/test_v04_identifiability_theorem.py","counterexample test for unequal priors","Do not use ordinary TV alone with unequal priors."
T2-selection,A5,"Target-only laws satisfy P_L=P_R=M.","IDENTIFIABILITY_THEORY.md section 3","tests/test_v04_identifiability_theorem.py; tests/test_v04_identifiability_core.py","analytic theorem and constructed-pair test","Equality applies to stipulated X, not donor or metadata observables."
T2-selection,A6,"Selection is measurable and label-blind: Pr(S=1|X,Y)=s(X).","IDENTIFIABILITY_THEORY.md section 3","metashift.identifiability.label_blind_accepted_local_prior; tests/test_v04_identifiability_theorem.py","analytic theorem and label-dependent counterexample","Does not cover use of Y or label-dependent side information."
T2-selection,A7,"Acceptance coverage integral of s under M is positive.","IDENTIFIABILITY_THEORY.md section 3","metashift.identifiability.label_blind_accepted_local_prior; tests/test_v04_identifiability_theorem.py","input-contract test","No conditional risk is defined for zero accepted cases."
T2-selection,A8,"Any randomized selector or classifier uses auxiliary randomness conditionally independent of Y given X.","IDENTIFIABILITY_THEORY.md section 3","IDENTIFIABILITY_THEORY.md adversarial audit","analytic assumption","No result for label-dependent randomization."
T3-exact-core,A9,"Component, availability, and pair schedule are generated without using the scope arm.","configs/v04_identifiability_protocol.json matched_pairs and synthetic_panel","metashift.identifiability.paired_schedule_seed; tests/test_v04_identifiability_core.py","protocol binding and deterministic test","Specific to v0.4.1 synthetic construction."
T3-exact-core,A10,"The same realized schedule is applied to the L and R target paths.","configs/v04_identifiability_protocol.json matched_pairs","metashift.identifiability.build_analysis_scale_scope_pair; tests/test_v04_identifiability_core.py","exact target-array test","Does not establish a real-world sampling law."
T3-exact-core,A11,"Schedule is exactly zero pre-anchor and remains in the inverse-transform domain.","configs/v04_identifiability_protocol.json matched_pairs","metashift.identifiability.build_analysis_scale_scope_pair; tests/test_v04_identifiability_core.py","input-rejection tests","No result when pre-period or inverse-domain conditions fail."
T3-exact-core,A12,"Donor availability is shared and normalized fixed weights sum to one on retained dates.","configs/v04_identifiability_protocol.json estimator and synthetic_panel","metashift.counterfactual.anchor_residual_windows; tests/test_v04_identifiability_core.py","construction and numerical-invariance test","No general comparative-identifiability guarantee."
T3-exact-core,A13,"The reported numerical comparison is subject to a 1e-12 floating-point tolerance.","configs/v04_identifiability_protocol.json estimator","tests/test_v04_identifiability_core.py","numerical test","Algebraic result is exact only over real arithmetic."
B1-raw-scale,A14,"Raw-scale stress uses the documented clipping transform and family-specific bounds.","configs/v04_identifiability_protocol.json raw_scale_stress_suite","metashift.identifiability raw increment helpers; tests/test_v04_identifiability_core.py","bound tests and frozen 1800/1800 result","Stress diagnostics do not validate the exact theorem or scope classification."
