claim_id,manuscript_section,manuscript_file,manuscript_assertion,claim_text,evidence_file,evidence_role,generated_asset,verification_status,notes
V05-01,Abstract;Experiments,sections/frontmatter.tex||sections/experiments.tex||sections/experiments.tex,"The preregistered v0.5 experiment uses \VFiveEvaluationComponents{} independent held-out synthetic components, \VFiveEvaluationPairs{} matched pairs||Calibration has \VFiveCalibrationComponents{} components, and evaluation has \VFiveEvaluationComponents{} components with \VFiveEvaluationPairs{} matched pairs and \VFiveEvaluationArms{} scope arms||The frozen design yields \VFiveCalibrationPairs{} calibration pairs and \VFiveEvaluationPairs{} evaluation pairs, with \VFiveEvaluationArms{} evaluation scope arms and \VFiveTotalArms{} total scope arms.","The preregistered v0.5 experiment contains 120 calibration components, 360 evaluation components, 76,800 calibration pairs, 230,400 evaluation matched pairs, 460,800 evaluation scope arms, and 614,400 total scope arms.","artifacts/v05_answerability_frontier/v05_execution_receipt.json","receipt-bound evaluation accounting","generated/v05_answerability_macros.tex",verified_frozen_v05_evidence,"Synthetic protocol accounting only."
V05-02,Results RQ0,sections/results.tex,"policy answers every held-out arm (coverage \VFiveTargetForcedCoveragePercent{}) and has observed conditional scope error \VFiveTargetForcedRiskPercent{}","Target-only forced classification has full 1.000000 coverage and 0.500000 observed conditional scope error.","artifacts/v05_answerability_frontier/v05_policy_metrics.csv","held-out target-only forced policy metric","generated/v05_answerability_macros.tex;generated/tables/table_v05_frontier.tex;generated/figures/fig_v05_risk_coverage.png",verified_frozen_v05_evidence,"Observed finite evaluation result; not a population-risk claim."
V05-03,Results RQ0,sections/results.tex||generated/tables/table_v05_failure_accounting.tex,"The comparative forced policy also answers every arm (coverage \VFiveComparativeForcedCoveragePercent{}) but has observed error \VFiveComparativeForcedRiskPercent{}||Comparative-forced errors & 126,764 & among 460,800 forced scope arms \\","Comparative forced classification has full 1.000000 coverage, 0.275095 observed conditional error, and 126,764 forced-scope errors.","artifacts/v05_answerability_frontier/v05_policy_metrics.csv;artifacts/v05_answerability_frontier/v05_failure_mode_map.csv","held-out comparative forced policy and failure accounting","generated/v05_answerability_macros.tex;generated/tables/table_v05_failure_accounting.tex;generated/figures/fig_v05_risk_coverage.png",verified_frozen_v05_evidence,"Retained unfavorable forced-comparison result."
V05-04,Results RQ0,sections/results.tex,"$.01$, $.05$, and $.10$ answer \VFiveStrictConfidenceAnsweredArms{} evaluation arms","Confidence-selective policies calibrated at 0.01, 0.05, and 0.10 answer 0 evaluation arms.","artifacts/v05_answerability_frontier/v05_policy_metrics.csv;artifacts/v05_answerability_frontier/v05_answerability_frontier.csv","held-out strict-confidence abstention metrics and finite-policy envelopes","generated/v05_answerability_macros.tex;generated/tables/table_v05_frontier.tex;generated/figures/fig_v05_risk_coverage.png",verified_frozen_v05_evidence,"No positive-coverage qualifying comparative policy at the three strict tolerances."
V05-05,Abstract;Framework;Results RQ0,sections/results.tex||sections/results.tex||sections/results.tex||generated/tables/table_v05_frontier.tex||sections/frontmatter.tex||sections/framework.tex,"\VFiveComparativeFrontierTwentyPercent{} at observed error \VFiveComparativeRiskTwentyPercent{}||At $\alpha=.20$, the achieved finite-policy Scope Answerability Gain from the target-only to comparative channel is therefore \VFiveComparativeFrontierTwentyPercent{}||$[\VFiveComparativeGainLowerPercent{},\VFiveComparativeGainUpperPercent{}]$||0.20 & 0\% & 60.4\% (19.5\%) & 39.1\% (0 observed errors) \\||through $\alpha=.10$ and reaches \VFiveComparativeFrontierTwentyPercent{} at $\alpha=.20$ with observed conditional error \VFiveComparativeRiskTwentyPercent{}||\VFiveComparativeFrontierTwentyPercent{} only at $\alpha=.20$, with observed conditional error \VFiveComparativeRiskTwentyPercent{}","At alpha=0.20, the comparative finite-policy frontier and Scope Answerability Gain are 0.603746 at 0.195208 observed conditional error; the component-bootstrap interval is [0.600863, 0.607008].","artifacts/v05_answerability_frontier/v05_answerability_frontier.csv;artifacts/v05_answerability_frontier/v05_component_bootstrap.csv","held-out comparative envelope and component-cluster bootstrap","generated/v05_answerability_macros.tex;generated/tables/table_v05_frontier.tex;generated/figures/fig_v05_answerability_frontier.png",verified_frozen_v05_evidence,"Finite-policy achieved gain only, not a population optimum."
V05-06,Results RQ0,sections/results.tex,"Only the policy calibrated at $.20$ reaches a positive comparative envelope: coverage \VFiveComparativeFrontierTwentyPercent{} at observed error \VFiveComparativeRiskTwentyPercent{}","The alpha=0.20 confidence-selective policy answers 0.603746 of evaluation arms at 0.195208 observed conditional error.","artifacts/v05_answerability_frontier/v05_policy_metrics.csv","held-out least-strict confidence-selective policy metric","generated/v05_answerability_macros.tex;generated/tables/table_v05_frontier.tex;generated/figures/fig_v05_risk_coverage.png",verified_frozen_v05_evidence,"The observed error is below its calibration tolerance but not evidence at stricter tolerances."
V05-07,Abstract;Results RQ0a,sections/results.tex||generated/tables/table_v05_failure_accounting.tex||sections/frontmatter.tex,"It answered \VFiveCertificateAnsweredPairs{} of \VFiveEvaluationPairs{} matched pairs (\VFiveCertificateCoveragePercent{}), with \VFiveCertificateObservedErrorDisplay{} among \VFiveCertificateAnsweredArms{} answered scope arms||Certificate-answered pairs & 89,997 & 0 errors among 179,994 answered arms \\||A structural interval-separation certificate answered \VFiveCertificateAnsweredPairs{} of \VFiveEvaluationPairs{} matched pairs (\VFiveCertificateCoveragePercent{}), with \VFiveCertificateObservedErrorDisplay{} among \VFiveCertificateAnsweredArms{} answered scope arms","The certificate answers 89,997 pairs (179,994 scope arms), with 0.390612 pair coverage and 0.000000 observed conditional error.","artifacts/v05_answerability_frontier/v05_certificate_validity.csv","held-out certificate validity diagnostic","generated/v05_answerability_macros.tex;generated/tables/table_v05_certificate.tex;generated/figures/fig_v05_certificate_validity.png",verified_frozen_v05_evidence,"Bounded synthetic-contract observation, not zero population risk."
V05-08,Abstract;Results RQ0a,sections/results.tex||sections/frontmatter.tex,"It recovered \VFiveCertificateEfficiencyPercent{} of the pairs deemed answerable by the predeclared simulation-information oracle||It recovered \VFiveCertificateEfficiencyPercent{} of the pairs deemed answerable by the predeclared simulation-information oracle","The certificate's predeclared simulation-information-oracle efficiency is 0.976583.","artifacts/v05_answerability_frontier/v05_certificate_validity.csv","held-out certificate efficiency diagnostic","generated/v05_answerability_macros.tex;generated/tables/table_v05_certificate.tex;generated/figures/fig_v05_certificate_validity.png",verified_frozen_v05_evidence,"Oracle is available only from synthetic design information."
V05-09,Abstract;Results RQ0a,sections/results.tex||sections/results.tex||generated/tables/table_v05_failure_accounting.tex||sections/frontmatter.tex,"The $q=0$ stratum contains \VFiveQZeroPairs{} matched pairs||It produces \VFiveQZeroCertificateAnsweredPairs{} certificate answers and no oracle-answerable pair||Target and donor observations identical at $q=0$ & 46,080 & negative-control abstention stratum \\||including all \VFiveQZeroPairs{} observationally indistinguishable $q=0$ negative controls","All 46,080 q=0 negative-control pairs have observational identity and produce 0 certificate answers.","artifacts/v05_answerability_frontier/v05_certificate_validity.csv;artifacts/v05_answerability_frontier/v05_failure_mode_map.csv","held-out q=0 identity and certificate-abstention accounting","generated/v05_answerability_macros.tex;generated/tables/table_v05_failure_accounting.tex;generated/figures/fig_v05_failure_mode_map.png",verified_frozen_v05_evidence,"Negative control; it is not comparative success."
V05-10,Abstract;Results RQ0a,sections/results.tex||generated/tables/table_v05_failure_accounting.tex||generated/tables/table_v05_failure_accounting.tex||sections/frontmatter.tex,"abstained on the remaining \VFiveNonpositiveMarginPairs{} pairs (\VFiveCertificateAbstentionPercent{}), including all \VFiveQZeroPairs{} observationally indistinguishable $q=0$ negative controls. It has \VFiveEnvelopeViolations{} observed envelope violations||Nonpositive structural margin & 140,403 & certificate must abstain \\||Envelope violations & 0 & none observed||abstained on the remaining \VFiveNonpositiveMarginPairs{} pairs (\VFiveCertificateAbstentionPercent{}), including all \VFiveQZeroPairs{} observationally indistinguishable $q=0$ negative controls","The certificate abstains on 140,403 pairs with nonpositive structural margin and has 0 observed envelope violations.","artifacts/v05_answerability_frontier/v05_failure_mode_map.csv;artifacts/v05_answerability_frontier/v05_certificate_validity.csv","held-out retained-failure and envelope accounting","generated/v05_answerability_macros.tex;generated/tables/table_v05_failure_accounting.tex;generated/figures/fig_v05_failure_mode_map.png",verified_frozen_v05_evidence,"A nonpositive margin requires abstention under the declared contract."
V05-11,Results RQ0a,generated/tables/table_v05_certificate.tex,"$q=0.00$ & 0\% & -- & --||$q=0.25$ & 10.9\% & 0 observed errors & 87.5\%||$q=0.50$ & 38.3\% & 0 observed errors & 94.2\%||$q=0.75$ & 66.4\% & 0 observed errors & 98.8\%||$q=1.00$ & 79.7\% & 0 observed errors & 100\%","Certificate pair coverage by nominal participation q=0.00, 0.25, 0.50, 0.75, and 1.00 is 0.000000, 0.109375, 0.382812, 0.663997, and 0.796875, respectively; oracle-region recovery for q=0.25, 0.50, 0.75, and 1.00 is 0.875000, 0.942308, 0.988435, and 1.000000, respectively.","artifacts/v05_answerability_frontier/v05_certificate_validity.csv","held-out certificate participation-stratified diagnostic","generated/tables/table_v05_certificate.tex",verified_frozen_v05_evidence,"Coverage pattern remains condition-dependent and does not define real scope."
V05-12,Reproducibility;Appendix,sections/reproducibility.tex||sections/reproducibility.tex||sections/reproducibility.tex||sections/reproducibility.tex||sections/appendix.tex,"\small\texttt{\VFiveFreezeTag{}}||\texttt{\VFiveExecutionCommit{}}||\small\texttt{v0.5.0-answerability-execution-claim}||SHA-256 prefix \texttt{\VFiveReceiptSHA{}}||\texttt{\VFiveFreezeTag{}} and uses a single preauthorized execution","The one-time v0.5 execution is bound to v0.5.0-answerability-freeze, v0.5.0-answerability-execution-claim, and commit 14fd0fee4fb015e6c661299041e35ff704a27286; its receipt SHA-256 is 954fc9b56a8f526644320aa7b1b15ed76844e400e1394ffd8f733729996a87c9.","artifacts/v05_answerability_frontier/v05_execution_receipt.json;artifacts/.v05_answerability_frontier_attempt.json","durable one-time execution receipt and attempt chain","generated/v05_answerability_macros.tex",verified_frozen_v05_evidence,"Read-only provenance validation; no execution or retuning."
