old_method_code,old_method_name,new_method_code,new_method_name,old_analyzer_family,new_analyzer_family,transition_class,nda_related,same_hardware_family,classification_basis,official_source,review_status
170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,183,Thermo Scientific 5014i or FH62C14-DHS w/VSCC - Beta Attenuation,Met One BAM-1020,Thermo 5014i/FH62C14-DHS,cross_analyzer_family,false,false,Distinct analyzer model families in AQS Method Name,https://aqs.epa.gov/aqsweb/helpfiles/method_code.htm,pending_student_teacher_review
170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,209,Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C - Beta Attenuation,Met One BAM-1020,Met One BAM-1022/TE-PM2.5C,cross_analyzer_family,false,false,Distinct analyzer model identifiers in AQS Method Name,https://aqs.epa.gov/aqsweb/helpfiles/method_code.htm,pending_student_teacher_review
170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,236,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,Met One BAM-1020,Teledyne T640,cross_analyzer_family,false,false,Distinct analyzer model families in AQS Method Name,https://aqs.epa.gov/aqsweb/helpfiles/method_code.htm,pending_student_teacher_review
170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,238,Teledyne T640X at 16.67 LPM - Broadband spectroscopy,Met One BAM-1020,Teledyne T640X,cross_analyzer_family,false,false,Distinct analyzer model families in AQS Method Name,https://aqs.epa.gov/aqsweb/helpfiles/method_code.htm,pending_student_teacher_review
170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,636,Teledyne T640 at 5.0 LPM w/Network Data Alignment enabled - Broadband spectroscopy,Met One BAM-1020,Teledyne T640,cross_analyzer_family,true,false,Distinct analyzer families; new AQS Method Name includes Network Data Alignment,https://aqs.epa.gov/aqsweb/helpfiles/method_code.htm|https://www.epa.gov/system/files/documents/2024-05/2_supplemental-info_t640-data-update_final-05-13-2024.pdf,pending_student_teacher_review
170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,638,Teledyne T640X at 16.67 LPM w/Network Data Alignment enabled - Broadband spectroscopy,Met One BAM-1020,Teledyne T640X,cross_analyzer_family,true,false,Distinct analyzer families; new AQS Method Name includes Network Data Alignment,https://aqs.epa.gov/aqsweb/helpfiles/method_code.htm|https://www.epa.gov/system/files/documents/2024-05/2_supplemental-info_t640-data-update_final-05-13-2024.pdf,pending_student_teacher_review
181,Thermo Scientific TEOM 1400 FDMS or 1405 8500C FDMS w/VSCC - FDMS Gravimetric,238,Teledyne T640X at 16.67 LPM - Broadband spectroscopy,Thermo TEOM 1400/1405,Teledyne T640X,cross_analyzer_family,false,false,Distinct analyzer model families in AQS Method Name,https://aqs.epa.gov/aqsweb/helpfiles/method_code.htm,pending_student_teacher_review
182,Thermo Scientific TEOM 1405-DF Dichotomous FDMS - FDMS Gravimetric,236,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,Thermo TEOM 1405,Teledyne T640,cross_analyzer_family,false,false,Distinct analyzer model families in AQS Method Name,https://aqs.epa.gov/aqsweb/helpfiles/method_code.htm,pending_student_teacher_review
182,Thermo Scientific TEOM 1405-DF Dichotomous FDMS - FDMS Gravimetric,238,Teledyne T640X at 16.67 LPM - Broadband spectroscopy,Thermo TEOM 1405,Teledyne T640X,cross_analyzer_family,false,false,Distinct analyzer model families in AQS Method Name,https://aqs.epa.gov/aqsweb/helpfiles/method_code.htm,pending_student_teacher_review
182,Thermo Scientific TEOM 1405-DF Dichotomous FDMS - FDMS Gravimetric,581,Thermo Scientific 1405-F FDMS w/VSCC - FDMS Gravimetric,Thermo TEOM 1405,Thermo TEOM 1405,same_analyzer_configuration,false,true,Shared TEOM 1405 family identifier in AQS Method Name,https://aqs.epa.gov/aqsweb/helpfiles/method_code.htm,pending_student_teacher_review
183,Thermo Scientific 5014i or FH62C14-DHS w/VSCC - Beta Attenuation,209,Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C - Beta Attenuation,Thermo 5014i/FH62C14-DHS,Met One BAM-1022/TE-PM2.5C,cross_analyzer_family,false,false,Distinct analyzer model families in AQS Method Name,https://aqs.epa.gov/aqsweb/helpfiles/method_code.htm,pending_student_teacher_review
183,Thermo Scientific 5014i or FH62C14-DHS w/VSCC - Beta Attenuation,236,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,Thermo 5014i/FH62C14-DHS,Teledyne T640,cross_analyzer_family,false,false,Distinct analyzer model families in AQS Method Name,https://aqs.epa.gov/aqsweb/helpfiles/method_code.htm,pending_student_teacher_review
183,Thermo Scientific 5014i or FH62C14-DHS w/VSCC - Beta Attenuation,238,Teledyne T640X at 16.67 LPM - Broadband spectroscopy,Thermo 5014i/FH62C14-DHS,Teledyne T640X,cross_analyzer_family,false,false,Distinct analyzer model families in AQS Method Name,https://aqs.epa.gov/aqsweb/helpfiles/method_code.htm,pending_student_teacher_review
183,Thermo Scientific 5014i or FH62C14-DHS w/VSCC - Beta Attenuation,638,Teledyne T640X at 16.67 LPM w/Network Data Alignment enabled - Broadband spectroscopy,Thermo 5014i/FH62C14-DHS,Teledyne T640X,cross_analyzer_family,true,false,Distinct analyzer families; new AQS Method Name includes Network Data Alignment,https://aqs.epa.gov/aqsweb/helpfiles/method_code.htm|https://www.epa.gov/system/files/documents/2024-05/2_supplemental-info_t640-data-update_final-05-13-2024.pdf,pending_student_teacher_review
184,Thermo Scientific Model 5030 SHARP w/VSCC - Beta Attenuation,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,Thermo 5030 SHARP,Met One BAM-1020,cross_analyzer_family,false,false,Distinct analyzer model families in AQS Method Name,https://aqs.epa.gov/aqsweb/helpfiles/method_code.htm,pending_student_teacher_review
184,Thermo Scientific Model 5030 SHARP w/VSCC - Beta Attenuation,236,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,Thermo 5030 SHARP,Teledyne T640,cross_analyzer_family,false,false,Distinct analyzer model families in AQS Method Name,https://aqs.epa.gov/aqsweb/helpfiles/method_code.htm,pending_student_teacher_review
184,Thermo Scientific Model 5030 SHARP w/VSCC - Beta Attenuation,238,Teledyne T640X at 16.67 LPM - Broadband spectroscopy,Thermo 5030 SHARP,Teledyne T640X,cross_analyzer_family,false,false,Distinct analyzer model families in AQS Method Name,https://aqs.epa.gov/aqsweb/helpfiles/method_code.htm,pending_student_teacher_review
195,GRIMM EDM Model 180 with naphion dryer - Laser Light Scattering,638,Teledyne T640X at 16.67 LPM w/Network Data Alignment enabled - Broadband spectroscopy,GRIMM EDM 180,Teledyne T640X,cross_analyzer_family,true,false,Distinct analyzer families; new AQS Method Name includes Network Data Alignment,https://aqs.epa.gov/aqsweb/helpfiles/method_code.htm|https://www.epa.gov/system/files/documents/2024-05/2_supplemental-info_t640-data-update_final-05-13-2024.pdf,pending_student_teacher_review
204,Teledyne Model 602 Beta plus w/VSCC - Beta Attenuation,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,Teledyne 602 Beta,Met One BAM-1020,cross_analyzer_family,false,false,Distinct analyzer model families in AQS Method Name,https://aqs.epa.gov/aqsweb/helpfiles/method_code.htm,pending_student_teacher_review
209,Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C - Beta Attenuation,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,Met One BAM-1022/TE-PM2.5C,Met One BAM-1020,cross_analyzer_family,false,false,Distinct analyzer model identifiers in AQS Method Name,https://aqs.epa.gov/aqsweb/helpfiles/method_code.htm,pending_student_teacher_review
209,Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C - Beta Attenuation,238,Teledyne T640X at 16.67 LPM - Broadband spectroscopy,Met One BAM-1022/TE-PM2.5C,Teledyne T640X,cross_analyzer_family,false,false,Distinct analyzer model families in AQS Method Name,https://aqs.epa.gov/aqsweb/helpfiles/method_code.htm,pending_student_teacher_review
236,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,Teledyne T640,Met One BAM-1020,cross_analyzer_family,false,false,Distinct analyzer model families in AQS Method Name,https://aqs.epa.gov/aqsweb/helpfiles/method_code.htm,pending_student_teacher_review
236,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,209,Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C - Beta Attenuation,Teledyne T640,Met One BAM-1022/TE-PM2.5C,cross_analyzer_family,false,false,Distinct analyzer model families in AQS Method Name,https://aqs.epa.gov/aqsweb/helpfiles/method_code.htm,pending_student_teacher_review
236,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,238,Teledyne T640X at 16.67 LPM - Broadband spectroscopy,Teledyne T640,Teledyne T640X,cross_analyzer_family,false,false,Distinct analyzer model identifiers in AQS Method Name,https://aqs.epa.gov/aqsweb/helpfiles/method_code.htm,pending_student_teacher_review
236,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,636,Teledyne T640 at 5.0 LPM w/Network Data Alignment enabled - Broadband spectroscopy,Teledyne T640,Teledyne T640,administrative_data_processing,true,true,Exact T640 family; only Network Data Alignment text changes,https://aqs.epa.gov/aqsweb/helpfiles/method_code.htm|https://www.epa.gov/system/files/documents/2024-05/2_supplemental-info_t640-data-update_final-05-13-2024.pdf,pending_student_teacher_review
236,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,638,Teledyne T640X at 16.67 LPM w/Network Data Alignment enabled - Broadband spectroscopy,Teledyne T640,Teledyne T640X,cross_analyzer_family,true,false,Distinct analyzer models; new AQS Method Name includes Network Data Alignment,https://aqs.epa.gov/aqsweb/helpfiles/method_code.htm|https://www.epa.gov/system/files/documents/2024-05/2_supplemental-info_t640-data-update_final-05-13-2024.pdf,pending_student_teacher_review
238,Teledyne T640X at 16.67 LPM - Broadband spectroscopy,236,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,Teledyne T640X,Teledyne T640,cross_analyzer_family,false,false,Distinct analyzer model identifiers in AQS Method Name,https://aqs.epa.gov/aqsweb/helpfiles/method_code.htm,pending_student_teacher_review
238,Teledyne T640X at 16.67 LPM - Broadband spectroscopy,638,Teledyne T640X at 16.67 LPM w/Network Data Alignment enabled - Broadband spectroscopy,Teledyne T640X,Teledyne T640X,administrative_data_processing,true,true,Exact T640X family; only Network Data Alignment text changes,https://aqs.epa.gov/aqsweb/helpfiles/method_code.htm|https://www.epa.gov/system/files/documents/2024-05/2_supplemental-info_t640-data-update_final-05-13-2024.pdf,pending_student_teacher_review
581,Thermo Scientific 1405-F FDMS w/VSCC - FDMS Gravimetric,238,Teledyne T640X at 16.67 LPM - Broadband spectroscopy,Thermo TEOM 1405,Teledyne T640X,cross_analyzer_family,false,false,Distinct analyzer model families in AQS Method Name,https://aqs.epa.gov/aqsweb/helpfiles/method_code.htm,pending_student_teacher_review
636,Teledyne T640 at 5.0 LPM w/Network Data Alignment enabled - Broadband spectroscopy,236,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,Teledyne T640,Teledyne T640,administrative_data_processing,true,true,Exact T640 family; only Network Data Alignment text changes,https://aqs.epa.gov/aqsweb/helpfiles/method_code.htm|https://www.epa.gov/system/files/documents/2024-05/2_supplemental-info_t640-data-update_final-05-13-2024.pdf,pending_student_teacher_review
