claim_id,claim,evidence_artifact,status,limitation
C1,"The pipeline reconstructs 563 persistent AQS 88101 Method Code anchors.","artifacts/data_gate/anchor_inventory.csv; artifacts/data_gate/data_manifest.csv","supported","Method Code is reported metadata, not a physical instrument log."
C2,"A common cross-site comparison is available for 228 of 563 anchors.","artifacts/real_transition_88101_event_audit.csv","supported","325 anchors lack three qualified distinct physical donor sites and 10 have input-window failures."
C3,"The stable synthetic benchmark has 400 independent evaluation samples per local or matched regional perturbation variant, using 66 calibration and 80 evaluation physical target sites with disjoint complete target-plus-donor input footprints.","artifacts/stable_synthetic_stable_full_v2_event_results.csv; artifacts/stable_synthetic_case_manifest.json; artifacts/stable_synthetic_case_split_audit.json","supported","Results are limited to the defined stable PM2.5 windows and perturbation model."
C4,"Standard synthetic control outperforms MetaShift on aggregate attribution AUPRC, macro-F1, and regional FPR.","artifacts/stable_synthetic_stable_full_v2_metrics.csv","supported","This does not establish universal performance outside this benchmark."
C5,"Cross-validated MetaShift has lower point-estimate MAE than standard synthetic control but not confidence-supported.","artifacts/stable_synthetic_stable_full_v2_bootstrap.csv","supported","Cluster bootstrap intervals condition on the benchmark and do not prove no possible advantage."
C6,"34 real anchors meet the FDR-screened exploratory candidate-discontinuity evidence rule.","artifacts/real_transition_88101_evidence_tiers.csv; artifacts/real_transition_88101_evidence_tier_summary.json; configs/evidence_tier_primary_v1.json","supported","Evidence tier is observational and not a physical-causality label."
C7,"Hourly same-site POC differences are available for nine candidate events and match daily direction in eight; QA collocation lacks strong matched pre/post validation.","artifacts/hourly_poc_validation_summary.csv; artifacts/external_validation_evidence.csv","supported","POC is not physical-instrument ground truth, and qualifier availability varies."
C8,"The 88502 sensitivity pipeline is independently executable but too sparse for strong generalization.","artifacts/data_gate_88502/summary.json; artifacts/real_transition_88502_event_audit.csv","supported","Only three common-method comparisons are complete."
C9,"Selection-aware nested intervals are more conservative than fixed-weight intervals for real MetaShift candidates.","artifacts/real_transition_88101_nested_selection_intervals.csv; artifacts/real_transition_88101_event_intervals.csv","supported","Nested intervals condition on the observed candidate pool and do not capture all metadata or candidate-pool uncertainty."
C10,"A targeted review of 20 official-document cases found zero dated site-specific confirmations.","paper/EXTERNAL_DOCUMENT_REVIEW.csv; artifacts/external_document_review_summary.json","supported","No located notice is not evidence that no physical change occurred."
