event_id,jurisdiction,anchor_date,reported_method_transition,classification,site_specific_dated_confirmation,primary_official_source,source_url,review_outcome
26-163-0098-poc1-2023-08-03,Michigan,2023-08-03,236 T640 to 636 T640 NDA,2,false,EPA AirData daily PM2.5 2023,https://aqs.epa.gov/aqsweb/airdata/daily_88101_2023.zip,Official AQS record corroborates reported method boundary; no dated EGLE site-change notice located.
27-013-5510-poc3-2025-07-23,Minnesota,2025-07-23,236 T640 to 636 T640 NDA,2,false,EPA AirData daily PM2.5 2025,https://aqs.epa.gov/aqsweb/airdata/daily_88101_2025.zip,Official AQS record corroborates reported method boundary; no dated MPCA site-change notice located.
42-101-0004-poc5-2023-07-01,Pennsylvania,2023-07-01,236 T640 to 636 T640 NDA,2,false,EPA AirData daily PM2.5 2023,https://aqs.epa.gov/aqsweb/airdata/daily_88101_2023.zip,Official AQS record corroborates reported method boundary; no dated local site-change notice located.
38-065-0002-poc3-2020-08-07,North Dakota,2020-08-07,170 BAM-1020 to 236 T640,2,false,EPA AirData daily PM2.5 2020,https://aqs.epa.gov/aqsweb/airdata/daily_88101_2020.zip,Official AQS record corroborates reported method boundary; no dated DEQ replacement notice located.
36-081-0124-poc4-2021-01-01,New York,2021-01-01,182 TEOM 1405-DF to 236 T640,2,false,EPA AirData daily PM2.5 2021,https://aqs.epa.gov/aqsweb/airdata/daily_88101_2021.zip,Official AQS record corroborates reported method boundary; no dated DEC/NYC site notice located.
06-019-5001-poc3-2020-07-01,California,2020-07-01,209 BAM-1022 to 170 BAM-1020,2,false,EPA AirData daily PM2.5 2020,https://aqs.epa.gov/aqsweb/airdata/daily_88101_2020.zip,Official AQS record corroborates reported method boundary; no dated local site notice located.
33-015-0018-poc3-2020-06-26,New Hampshire,2020-06-26,170 BAM-1020 to 238 T640X,2,false,EPA AirData daily PM2.5 2020,https://aqs.epa.gov/aqsweb/airdata/daily_88101_2020.zip,Official AQS record corroborates reported method boundary; no dated NHDES notice located.
33-009-0010-poc3-2021-08-03,New Hampshire,2021-08-03,170 BAM-1020 to 236 T640,2,false,EPA AirData daily PM2.5 2021,https://aqs.epa.gov/aqsweb/airdata/daily_88101_2021.zip,Official AQS record corroborates reported method boundary; no dated NHDES notice located.
17-083-0117-poc3-2021-06-30,Illinois,2021-06-30,183 Thermo/FH62 to 236 T640,2,false,EPA AirData daily PM2.5 2021,https://aqs.epa.gov/aqsweb/airdata/daily_88101_2021.zip,Official AQS record corroborates reported method boundary; no dated Illinois EPA notice located.
42-003-0008-poc3-2020-07-21,Pennsylvania,2020-07-21,170 BAM-1020 to 183 Thermo/FH62,2,false,EPA AirData daily PM2.5 2020,https://aqs.epa.gov/aqsweb/airdata/daily_88101_2020.zip,Official AQS record corroborates reported boundary; reporting gap limits physical-date inference.
42-077-0004-poc7-2023-07-03,Pennsylvania,2023-07-03,236 T640 to 636 T640 NDA,2,false,EPA AirData daily PM2.5 2023,https://aqs.epa.gov/aqsweb/airdata/daily_88101_2023.zip,Official AQS record corroborates reported boundary; no dated local NDA notice located.
42-091-0013-poc7-2023-07-03,Pennsylvania,2023-07-03,236 T640 to 636 T640 NDA,2,false,EPA AirData daily PM2.5 2023,https://aqs.epa.gov/aqsweb/airdata/daily_88101_2023.zip,Official AQS record corroborates reported boundary; no dated local NDA notice located.
42-011-0011-poc7-2023-07-03,Pennsylvania,2023-07-03,236 T640 to 636 T640 NDA,2,false,EPA AirData daily PM2.5 2023,https://aqs.epa.gov/aqsweb/airdata/daily_88101_2023.zip,Official AQS record corroborates reported boundary; no dated local NDA notice located.
15-003-1001-poc3-2023-08-30,Hawaii,2023-08-30,238 T640X to 638 T640X NDA,2,false,EPA AirData daily PM2.5 2023,https://aqs.epa.gov/aqsweb/airdata/daily_88101_2023.zip,Official AQS record corroborates reported boundary; prior code history prevents installation inference.
17-043-4002-poc3-2023-11-07,Illinois,2023-11-07,236 T640 to 636 T640 NDA,2,false,EPA AirData daily PM2.5 2023,https://aqs.epa.gov/aqsweb/airdata/daily_88101_2023.zip,Official AQS record corroborates reported boundary; no dated Illinois site notice located.
10-003-1008-poc3-2023-11-30,Delaware,2023-11-30,236 T640 to 636 T640 NDA,2,false,EPA AirData daily PM2.5 2023,https://aqs.epa.gov/aqsweb/airdata/daily_88101_2023.zip,Official AQS record corroborates reported boundary; no dated DNREC notice located.
29-510-0085-poc4-2025-01-17,Missouri,2025-01-17,182 TEOM 1405-DF to 581 Thermo 1405-F,2,false,EPA AirData daily PM2.5 2025,https://aqs.epa.gov/aqsweb/airdata/daily_88101_2025.zip,Official AQS record corroborates reported boundary; no dated Missouri DNR notice located.
18-097-0078-poc4-2023-07-01,Indiana,2023-07-01,238 T640X to 638 T640X NDA,2,false,EPA AirData daily PM2.5 2023,https://aqs.epa.gov/aqsweb/airdata/daily_88101_2023.zip,Official AQS record corroborates reported boundary; no dated IDEM notice located.
21-037-3002-poc3-2023-10-04,Kentucky,2023-10-04,236 T640 to 636 T640 NDA,2,false,EPA AirData daily PM2.5 2023,https://aqs.epa.gov/aqsweb/airdata/daily_88101_2023.zip,Official AQS record corroborates reported boundary; reporting gap limits physical-date inference.
09-003-1003-poc3-2023-07-25,Connecticut,2023-07-25,238 T640X to 638 T640X NDA,2,false,EPA AirData daily PM2.5 2023,https://aqs.epa.gov/aqsweb/airdata/daily_88101_2023.zip,Official AQS record corroborates reported boundary; no dated DEEP notice located.
