work_id,citation,canonical_url,verification_status,established_ingredient,missing_from_v05_joint_construction,boundary_for_metashift
BW51,"Blackwell, David (1951). Comparison of Experiments.","https://doi.org/10.1525/9780520411586-009","DOI metadata verified; 1953 publisher landing page access-limited","Decision-theoretic comparison of information channels.","Target-fixed donor-participation scope construction; finite synthetic answerability envelope; structural abstention condition.","Information refinement and monotonicity are established rather than MetaShift novelty."
EYW10,"El-Yaniv, Ran, and Yair Wiener (2010). On the Foundations of Noise-free Selective Classification.","https://www.jmlr.org/papers/v11/el-yaniv10a.html","Official JMLR record and abstract verified.","Risk--coverage optimization and rejection.","Scope labels induced through target-fixed comparative paths and cross-channel gain measurement.","Do not call risk--coverage or abstention new."
FPA23,"Franc, Vojtech, Daniel Prusa, and Vaclav Voracek (2023). Optimal Strategies for Reject Option Classifiers.","https://jmlr.org/papers/v24/21-0048.html","Official JMLR record and abstract verified.","Constrained selective risk and maximal coverage.","Paired scope experiment and donor-participation structural diagnostic.","Do not characterize Gamma as a newly invented generic criterion."
CH70,"Chow, C. K. (1970). On Optimum Recognition Error and Reject Tradeoff.","https://doi.org/10.1109/TIT.1970.1054406","DOI metadata verified; IEEE full text access-limited.","Classical reject-option error tradeoff.","Target-fixed scope task; comparative donor channel; bounded residual condition.","Do not claim reject options or confidence abstention as new."
HSC24,"Goren, Shani, Ido Galil, and Ran El-Yaniv (2024). Hierarchical Selective Classification.","https://arxiv.org/abs/2405.11533","Canonical arXiv record and abstract verified.","Hierarchical risk--coverage and uncertainty-driven specificity reduction.","Monitoring-network local/shared scope construction; no label hierarchy is used by v0.5.","Do not claim a hierarchical classification contribution."
BCF18,"Barigozzi, Matteo, Haeran Cho, and Piotr Fryzlewicz (2018). Simultaneous multiple change-point and factor analysis for high-dimensional time series.","https://doi.org/10.1016/j.jeconom.2018.05.003","Accessible author record and DOI metadata verified; publisher detail access-limited.","Common and idiosyncratic change-point analysis.","Target arrays held identical between scope arms; finite selective answerability and certificate protocol.","Do not claim common-versus-idiosyncratic detection as new."
A21,"Abadie, Alberto (2021). Using Synthetic Controls: Feasibility, Data Requirements, and Methodological Aspects.","https://www.aeaweb.org/articles?id=10.1257/jel.20191450","Official AEA page and abstract verified.","Synthetic-control comparison, feasibility, and diagnostics.","Scope-answerability evaluation object and target-fixed participation continuum.","Do not claim donor comparison or synthetic control novelty."
MW09,"Menne, Matthew J., and Claude N. Williams Jr. (2009). Homogenization of Temperature Series via Pairwise Comparisons.","https://doi.org/10.1175/2008JCLI2263.1","Crossref primary metadata and abstract verified.","Pairwise monitoring-network comparison and simulated inhomogeneities.","Channel-specific risk--coverage envelope and structural abstention condition.","Do not claim pairwise monitoring comparison novelty."
CW84,"Chow, Edward, and Alan Willsky (1984). Analytical Redundancy and the Design of Robust Failure Detection Systems.","https://doi.org/10.1109/TAC.1984.1103593","DOI metadata verified; IEEE full text access-limited.","Residual signatures and robust fault detection.","Weak-anchor statistical scope task without physical fault relations.","Do not claim general residual signature or fault distinguishability novelty."
KF08,"Krysander, Mattias, and Erik Frisk (2008). Sensor Placement for Fault Diagnosis.","https://doi.org/10.1109/TSMCA.2008.2003968","Crossref metadata verified; IEEE full text access-limited.","Model-based sensor placement and fault diagnosability.","Target-fixed comparative benchmark without known physical system equations.","Do not make sensor or physical diagnosis claims."
CGAD24,"Cauchois, Maxime, Suyash Gupta, Alnur Ali, and John Duchi (2024). Predictive Inference with Weak Supervision.","https://jmlr.org/papers/v25/23-0253.html","Official JMLR record and abstract verified.","Restricted predictive validity with weak labels.","Generator-defined synthetic scope truth rather than weak labels; no mechanism truth from Method Code.","Do not treat metadata anchors as labels or claim generic weak-supervision validity."
