stress_family,split,event_count,bound_satisfied_count,bound_failure_count,median_residual_leakage_bound,maximum_residual_leakage_bound,median_absolute_effect_leakage,maximum_absolute_effect_leakage,bound_basis,exact_cancellation_status,classification_risk_coverage_status,source_artifact_path,source_artifact_sha256
raw_additive_step,calibration,120,120,0,0.021478578242510038,0.035455824058253482,0.00067234265508631097,0.0033346022811573395,sharp_nonnegative_additive_bound,outside_exact_core_raw_increment_value_dependent,unavailable_in_frozen_output,artifacts/v04_identifiability_core/v04_stress_results.csv,c93cfda1183584ba01d8fe82f09ef870acac45c2e59b3b5045de39859f6a763a
raw_additive_step,evaluation,240,240,0,0.021713516967826071,0.036758620966109948,0.0007681201020054429,0.0031929694692780508,sharp_nonnegative_additive_bound,outside_exact_core_raw_increment_value_dependent,unavailable_in_frozen_output,artifacts/v04_identifiability_core/v04_stress_results.csv,c93cfda1183584ba01d8fe82f09ef870acac45c2e59b3b5045de39859f6a763a
raw_proportional_step,calibration,120,120,0,0.19243052278394332,0.28407318128588871,5.3286119551021471e-05,0.00025873008108612261,global_proportional_lipschitz_bound_a_0.15,outside_exact_core_raw_increment_value_dependent,unavailable_in_frozen_output,artifacts/v04_identifiability_core/v04_stress_results.csv,c93cfda1183584ba01d8fe82f09ef870acac45c2e59b3b5045de39859f6a763a
raw_proportional_step,evaluation,240,240,0,0.19772992793923932,0.35744264988667668,5.9051553624178688e-05,0.00025272051470737189,global_proportional_lipschitz_bound_a_0.15,outside_exact_core_raw_increment_value_dependent,unavailable_in_frozen_output,artifacts/v04_identifiability_core/v04_stress_results.csv,c93cfda1183584ba01d8fe82f09ef870acac45c2e59b3b5045de39859f6a763a
raw_gradual_drift,calibration,120,120,0,0.020068910023464809,0.028774630022972446,0.00047730238555654392,0.0031152018337587961,pointwise_sharp_nonnegative_additive_bound,outside_exact_core_raw_increment_value_dependent,unavailable_in_frozen_output,artifacts/v04_identifiability_core/v04_stress_results.csv,c93cfda1183584ba01d8fe82f09ef870acac45c2e59b3b5045de39859f6a763a
raw_gradual_drift,evaluation,240,240,0,0.020191955235089876,0.036758620966109948,0.00060370642431473165,0.0027269601774579932,pointwise_sharp_nonnegative_additive_bound,outside_exact_core_raw_increment_value_dependent,unavailable_in_frozen_output,artifacts/v04_identifiability_core/v04_stress_results.csv,c93cfda1183584ba01d8fe82f09ef870acac45c2e59b3b5045de39859f6a763a
raw_temporary_step,calibration,120,120,0,0.019717386696744339,0.035455824058253482,0.00032042405118459794,0.0021640057973297822,affected_date_sharp_nonnegative_additive_bound,outside_exact_core_raw_increment_value_dependent,unavailable_in_frozen_output,artifacts/v04_identifiability_core/v04_stress_results.csv,c93cfda1183584ba01d8fe82f09ef870acac45c2e59b3b5045de39859f6a763a
raw_temporary_step,evaluation,240,240,0,0.020168370609002235,0.032106330812286206,0.00036014071998502484,0.0024424934889255567,affected_date_sharp_nonnegative_additive_bound,outside_exact_core_raw_increment_value_dependent,unavailable_in_frozen_output,artifacts/v04_identifiability_core/v04_stress_results.csv,c93cfda1183584ba01d8fe82f09ef870acac45c2e59b3b5045de39859f6a763a
raw_variance_increase,calibration,120,120,0,1.2828701518929555,1.8938212085725916,7.8517937852740083e-05,0.00062150804487015598,global_signed_clipping_aware_one_lipschitz_bound,outside_exact_core_no_frozen_L_R_target_equivalence,unavailable_in_frozen_output,artifacts/v04_identifiability_core/v04_stress_results.csv,c93cfda1183584ba01d8fe82f09ef870acac45c2e59b3b5045de39859f6a763a
raw_variance_increase,evaluation,240,240,0,1.3181995195949288,2.3829509992445113,9.0723190042107937e-05,0.00075761376993077612,global_signed_clipping_aware_one_lipschitz_bound,outside_exact_core_no_frozen_L_R_target_equivalence,unavailable_in_frozen_output,artifacts/v04_identifiability_core/v04_stress_results.csv,c93cfda1183584ba01d8fe82f09ef870acac45c2e59b3b5045de39859f6a763a
