work_id,strongest_closest_work,citation,primary_url,doi_or_identifier,verification_status,formal_problem,inputs,assumptions,ground_truth,local_common_distinction,metadata_anchors,physical_control_independence,complete_event_universe,synthetic_real_truth_separation,risk_coverage,explicit_abstention,missing_negative_evidence,post_selection_uncertainty,exact_metashift_overlap,exact_unresolved_gap,novelty_effect
MW09,true,"Menne, Matthew J., and Claude N. Williams Jr. (2009). Homogenization of Temperature Series via Pairwise Comparisons. Journal of Climate 22(7): 1700-1717.","https://doi.org/10.1175/2008JCLI2263.1","10.1175/2008JCLI2263.1","verified primary DOI metadata and NOAA copy","Detect and adjust artificial station-series inhomogeneities through pairwise differences.","Monthly station series, neighboring station network, and station history when available.","Neighbor comparisons expose local artificial breaks and some shift magnitudes can be reliably estimated.","Simulated step/trend scenarios and real U.S. temperature observations; no complete verified historical transition ledger.","Operationally distinguishes a station-attributed break from shared climate variation, but does not define the proposed three-state event task.","Yes, station history when available.","No independent physical control; neighbors are comparison references.","No.","Partial: simulations impose known changes while real observations lack complete event truth.","No answered-case risk-coverage objective.","No explicit reject output.","Not formalized as missing evidence versus negative evidence.","No selection-conditional uncertainty treatment.","Network comparison, weak history/metadata, and measurement-break attribution.","No formal criterion for weakly anchored event identifiability, explicit answer risk-coverage, or abstention policy.","Narrows any claim that network pairwise detection or metadata use is novel."
WMT12,true,"Williams, Claude N. Jr., Matthew J. Menne, and Peter W. Thorne (2012). Benchmarking the performance of pairwise homogenization of surface temperatures in the United States. Journal of Geophysical Research: Atmospheres 117: D05116.","https://doi.org/10.1029/2011JD016761","10.1029/2011JD016761","verified primary bibliographic record and canonical university repository","Benchmark pairwise homogenization accuracy and uncertainty using realistic temperature analogs.","Perturbed homogenization ensembles, benchmark analogs of real monthly temperature series, and real observations.","Benchmark analog construction represents relevant systematic errors.","Known benchmark truth; real-world truth remains unavailable.","No formal local-versus-common event definition.","Uses PHA context, not a formal weak-anchor identifiability analysis.","No independent physical control.","No.","Yes: benchmark truth is separated from real-data inference.","Error bounds on trends, not selective answered-event risk plus coverage.","No.","Not formalized.","No.","Realistic synthetic benchmarking and incomplete real-world truth.","No individual weak-anchor identifiability criterion, decision rule requiring abstention, or complete event accounting.","Narrows novelty of realistic injected-truth benchmarking and synthetic/real truth separation."
BCF18,true,"Barigozzi, Matteo, Haeran Cho, and Piotr Fryzlewicz (2018). Simultaneous multiple change-point and factor analysis for high-dimensional time series. Journal of Econometrics 206(1): 187-225.","https://doi.org/10.1016/j.jeconom.2018.05.003","10.1016/j.jeconom.2018.05.003","verified primary DOI metadata","Locate multiple second-order change-points and assign common or idiosyncratic factor-model origin.","High-dimensional time-series panel, approximate factor model, and wavelet transforms.","Piecewise stationarity and approximate factor-model structure.","Known simulated changes; empirical applications do not provide a complete event-truth ledger.","Yes; common and idiosyncratic components are central, including possible idiosyncratic-to-common spillover.","No.","No; factor components are statistical rather than physically independent controls.","No.","Simulation/application distinction exists but not a measurement-transition truth protocol.","No answered-case risk-coverage objective.","No.","Not formalized.","No.","Shared-versus-idiosyncratic attribution from panel information.","No weak metadata anchors, physical measurement-transition setting, complete event universe, answer-risk/coverage, or abstention policy.","Strongly narrows any claim that common/idiosyncratic distinction itself is novel."
TS17,true,"Taiebat, Morteza, and Farrokh Sassani (2017). Distinguishing Sensor Faults from System Faults by Utilizing Minimum Sensor Redundancy. Transactions of the Canadian Society for Mechanical Engineering 41(3): 469-487.","https://doi.org/10.1139/tcsme-2017-0033","10.1139/tcsme-2017-0033","verified publisher DOI, author record, title, venue, volume, issue, and pages","Distinguish sensor faults from system faults using minimum sensor redundancy.","Sensor observations, number of sensors/variables, and known physical relationships.","Serial causality, serially connected systems, and sufficient sensor redundancy.","Controlled reservoir/control-valve demonstration, not historical network-event labels.","Analogous sensor-versus-system distinction, not statistical common/idiosyncratic network change-points.","No historical metadata anchors.","Yes; known physical relationships and redundancy are essential.","No.","Controlled demonstration is separate from historical deployment.","Conditional certainty result, not an answered-case risk-coverage curve.","No explicit abstention policy.","Not formalized.","No.","Conditional distinguishability with redundant information.","Its certainty result needs strong physical structure and does not cover weak anchors, historical-event completeness, selective event decisions, or post-selection uncertainty.","Most important restriction: do not claim generic novelty for conditional identifiability or sensor/system distinction."
A21,false,"Abadie, Alberto (2021). Using Synthetic Controls: Feasibility, Data Requirements, and Methodological Aspects. Journal of Economic Literature 59(2): 391-425.","https://www.aeaweb.org/articles?id=10.1257/jel.20191450","10.1257/jel.20191450","verified AEA primary source","Estimate counterfactual treatment effects with weighted donor units and assess design feasibility.","Treated-unit outcomes, donor outcomes, pre-treatment covariates, and outcomes.","Donors approximate an untreated trajectory with suitable data, design, and pre-treatment fit.","The untreated counterfactual is unobserved; placebos are diagnostics rather than labels.","Treated-versus-donor comparison, not local-versus-common measurement-transition classification.","No.","Donor pool is a comparator, not independently controlled physical instrumentation.","No.","Not a central synthetic-event/real-event truth separation protocol.","Inference and diagnostics, not answered-event risk plus coverage.","No formal abstention, although feasibility failures are discussed.","Not formalized.","No.","Counterfactual comparison, pre-fit feasibility, and placebo logic.","No weak-anchor transition identifiability, selective decision rule, or complete event universe.","Narrows novelty of counterfactual comparison, feasibility checks, and placebo diagnostics."
EYW10,false,"El-Yaniv, Ran, and Yair Wiener (2010). On the Foundations of Noise-free Selective Classification. Journal of Machine Learning Research 11: 1605-1641.","https://www.jmlr.org/papers/v11/el-yaniv10a.html","JMLR 11(53)","verified official JMLR source","Characterize and optimize selective-classification risk-coverage trade-offs.","Labeled examples, classifier, and selection/reject rule.","Noise-free classification models for the main theory.","Classification labels and model setting.","No.","No.","No.","Not applicable to historical event enumeration.","No.","Yes; foundational risk-coverage formulation.","Yes; rejection is definitional.","No.","No selection-conditional conformal inference.","Answered-case error/risk and coverage with rejection.","No network-event identifiability, weak anchors, physical controls, or event-universe design.","Narrows novelty of risk-coverage and abstention."
GE17,true,"Geifman, Yonatan, and Ran El-Yaniv (2017). Selective Classification for Deep Neural Networks. NeurIPS 2017.","https://arxiv.org/abs/1705.08500","arXiv:1705.08500","verified canonical preprint and proceedings record","Construct a selective deep classifier that targets a prescribed risk with high probability.","Trained DNN, confidence score, and labeled calibration/training data.","IID labeled data and a confidence score that ranks reliability.","Fully labeled CIFAR and ImageNet benchmarks.","No.","No.","No.","Not applicable.","No.","Yes; selective risk and coverage with a risk target.","Yes; low-confidence instances are rejected.","No.","Controls accepted-case risk, not selection-conditional interval coverage.","Explicit answer-versus-abstain operationalization and answered-case risk control.","No weak operational anchors, event identifiability, monitoring network, or complete event universe.","Narrows novelty of target-risk abstention mechanisms."
CGAD24,false,"Cauchois, Maxime, Suyash Gupta, Alnur Ali, and John C. Duchi (2024). Predictive Inference with Weak Supervision. Journal of Machine Learning Research 25(118): 1-45.","https://jmlr.org/papers/v25/23-0253.html","JMLR 25(118)","verified official JMLR source","Construct distribution-free predictive confidence sets from partial or weak labels.","Features plus a weak label or weak-labeling function.","Weak labels encode a set containing the true label and conformal assumptions apply; strong-label coverage is generally impossible without more assumptions.","Weak labels and experiments, not a complete measurement-event truth ledger.","No.","Weak-labeling functions are mathematical supervision objects, not operational metadata anchors.","No.","No.","No event-truth separation protocol.","Coverage for a weak-label-consistent set, not selective answered-event risk plus coverage.","Set-valued prediction, not a prescribed abstention policy.","Recognizes unobserved strong labels but not missing-log versus negative-event-evidence semantics.","No focal-selection guarantee.","Weak supervision, impossibility under insufficient information, and valid uncertainty.","No network measurement-transition identification, local/common structure, or required abstention.","Narrows novelty of weak-supervision validity or impossibility reasoning."
AR24,false,"Angelopoulos, Anastasios N., Stephen Bates, Adam Fisch, Lihua Lei, and Tal Schuster (2024). Conformal Risk Control. ICLR 2024.","https://openreview.net/forum?id=33XGfHLtZg","OpenReview: 33XGfHLtZg","verified canonical OpenReview record and bibliographic metadata","Control expected monotone losses with conformal calibration.","Calibration data, predictor, and monotone loss.","Conformal calibration assumptions with extensions for selected shifts.","Observed outcome/loss setting.","No.","No.","No.","Not applicable.","No.","Expected-risk control, not a risk-coverage event-identification framework.","No intrinsic rejection policy.","No.","Not focal-selection conditional coverage.","Risk-control component potentially relevant to answered claims.","No network measurement-event identification, weak anchoring, or abstention requirement.","Narrows a generic claim of novelty for conformal expected-risk control."
JR25,true,"Jin, Ying, and Zhimei Ren (2025). Confidence on the Focal: Conformal Prediction with Selection-Conditional Coverage. Journal of the Royal Statistical Society Series B 87(4): 1239-1259.","https://doi.org/10.1093/jrsssb/qkaf016","10.1093/jrsssb/qkaf016","verified primary DOI metadata and canonical preprint","Construct prediction sets with exact coverage conditional on data-driven focal-unit selection.","Calibration data, test covariates, selection rule, and conformity scores.","Exchangeability and specified permutation-invariance conditions for selection.","Observed labels/outcomes for calibration and prediction targets with unknown outcomes.","No.","No.","No.","Not applicable.","No.","Conditional coverage for selected focal units, not an event risk-coverage frontier.","Selection is modeled; abstention is not its object.","No.","Yes; central contribution.","Post-selection uncertainty and selection-conditional coverage.","No weak operational anchors, monitoring-network structure, or event-cause identifiability.","Directly narrows novelty of post-selection uncertainty conditional on selection."
