review_row_id,old_method_code,old_method_name,new_method_code,new_method_name,frozen_proposed_old_analyzer_family,frozen_proposed_new_analyzer_family,frozen_proposed_transition_class,frozen_proposed_nda_related,frozen_proposed_same_hardware_family,frozen_classification_basis,frozen_official_source,frozen_source_review_status,frozen_taxonomy_sha256,human_review_decision,human_evidence_locator,human_source_accessed_at_utc,student_reviewer_initials,teacher_reviewer_initials,review_date,reviewer_notes
TAX-001,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,183,Thermo Scientific 5014i or FH62C14-DHS w/VSCC - Beta Attenuation,Met One BAM-1020,Thermo 5014i/FH62C14-DHS,cross_analyzer_family,false,false,Distinct analyzer model families in AQS Method Name,https://aqs.epa.gov/aqsweb/helpfiles/method_code.htm,pending_student_teacher_review,31485dc86fd1d3dd9715bc9f1057856dab8d89e399ebbaaff206374f76b4fcf2,pending_human_review,,,,,,
TAX-002,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,209,Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C - Beta Attenuation,Met One BAM-1020,Met One BAM-1022/TE-PM2.5C,cross_analyzer_family,false,false,Distinct analyzer model identifiers in AQS Method Name,https://aqs.epa.gov/aqsweb/helpfiles/method_code.htm,pending_student_teacher_review,31485dc86fd1d3dd9715bc9f1057856dab8d89e399ebbaaff206374f76b4fcf2,pending_human_review,,,,,,
TAX-003,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,236,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,Met One BAM-1020,Teledyne T640,cross_analyzer_family,false,false,Distinct analyzer model families in AQS Method Name,https://aqs.epa.gov/aqsweb/helpfiles/method_code.htm,pending_student_teacher_review,31485dc86fd1d3dd9715bc9f1057856dab8d89e399ebbaaff206374f76b4fcf2,pending_human_review,,,,,,
TAX-004,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,238,Teledyne T640X at 16.67 LPM - Broadband spectroscopy,Met One BAM-1020,Teledyne T640X,cross_analyzer_family,false,false,Distinct analyzer model families in AQS Method Name,https://aqs.epa.gov/aqsweb/helpfiles/method_code.htm,pending_student_teacher_review,31485dc86fd1d3dd9715bc9f1057856dab8d89e399ebbaaff206374f76b4fcf2,pending_human_review,,,,,,
TAX-005,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,636,Teledyne T640 at 5.0 LPM w/Network Data Alignment enabled - Broadband spectroscopy,Met One BAM-1020,Teledyne T640,cross_analyzer_family,true,false,Distinct analyzer families; new AQS Method Name includes Network Data Alignment,https://aqs.epa.gov/aqsweb/helpfiles/method_code.htm|https://www.epa.gov/system/files/documents/2024-05/2_supplemental-info_t640-data-update_final-05-13-2024.pdf,pending_student_teacher_review,31485dc86fd1d3dd9715bc9f1057856dab8d89e399ebbaaff206374f76b4fcf2,pending_human_review,,,,,,
TAX-006,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,638,Teledyne T640X at 16.67 LPM w/Network Data Alignment enabled - Broadband spectroscopy,Met One BAM-1020,Teledyne T640X,cross_analyzer_family,true,false,Distinct analyzer families; new AQS Method Name includes Network Data Alignment,https://aqs.epa.gov/aqsweb/helpfiles/method_code.htm|https://www.epa.gov/system/files/documents/2024-05/2_supplemental-info_t640-data-update_final-05-13-2024.pdf,pending_student_teacher_review,31485dc86fd1d3dd9715bc9f1057856dab8d89e399ebbaaff206374f76b4fcf2,pending_human_review,,,,,,
TAX-007,181,Thermo Scientific TEOM 1400 FDMS or 1405 8500C FDMS w/VSCC - FDMS Gravimetric,238,Teledyne T640X at 16.67 LPM - Broadband spectroscopy,Thermo TEOM 1400/1405,Teledyne T640X,cross_analyzer_family,false,false,Distinct analyzer model families in AQS Method Name,https://aqs.epa.gov/aqsweb/helpfiles/method_code.htm,pending_student_teacher_review,31485dc86fd1d3dd9715bc9f1057856dab8d89e399ebbaaff206374f76b4fcf2,pending_human_review,,,,,,
TAX-008,182,Thermo Scientific TEOM 1405-DF Dichotomous FDMS - FDMS Gravimetric,236,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,Thermo TEOM 1405,Teledyne T640,cross_analyzer_family,false,false,Distinct analyzer model families in AQS Method Name,https://aqs.epa.gov/aqsweb/helpfiles/method_code.htm,pending_student_teacher_review,31485dc86fd1d3dd9715bc9f1057856dab8d89e399ebbaaff206374f76b4fcf2,pending_human_review,,,,,,
TAX-009,182,Thermo Scientific TEOM 1405-DF Dichotomous FDMS - FDMS Gravimetric,238,Teledyne T640X at 16.67 LPM - Broadband spectroscopy,Thermo TEOM 1405,Teledyne T640X,cross_analyzer_family,false,false,Distinct analyzer model families in AQS Method Name,https://aqs.epa.gov/aqsweb/helpfiles/method_code.htm,pending_student_teacher_review,31485dc86fd1d3dd9715bc9f1057856dab8d89e399ebbaaff206374f76b4fcf2,pending_human_review,,,,,,
TAX-010,182,Thermo Scientific TEOM 1405-DF Dichotomous FDMS - FDMS Gravimetric,581,Thermo Scientific 1405-F FDMS w/VSCC - FDMS Gravimetric,Thermo TEOM 1405,Thermo TEOM 1405,same_analyzer_configuration,false,true,Shared TEOM 1405 family identifier in AQS Method Name,https://aqs.epa.gov/aqsweb/helpfiles/method_code.htm,pending_student_teacher_review,31485dc86fd1d3dd9715bc9f1057856dab8d89e399ebbaaff206374f76b4fcf2,pending_human_review,,,,,,
