claim_id,manuscript_section,claim_text,evidence_file,evidence_version,relevant_columns,filters,calculation,generated_table_or_figure,verification_status,notes
Q01,Abstract; Data,"The corpus contains 2,424,793 canonical daily PM2.5 observations and 1,689 monitor time series.",artifacts/data_gate/summary.json,v0.3.2,canonical_records; monitor_series,primary 88101 data gate,Read fields directly.,table_data_summary.tex,verified_frozen_evidence,Counts are source-snapshot specific.
Q02,Abstract; Data; Results RQ3,The complete event universe contains 563 persistent 88101 Method Code transition anchors.,artifacts/data_gate/summary.json,v0.3.2,eligible_anchors,primary 88101 data gate,Read field directly.,table_data_summary.tex; fig_event_flow.pdf,verified_frozen_evidence,A Method Code transition remains a metadata anchor.
Q03,Abstract; Data; Results RQ3,238 anchors have at least three distinct physical geographic donors.,artifacts/data_gate/summary.json,v0.3.2,anchors_with_three_geographic_controls,one best POC per physical donor site,Read field directly.,table_data_summary.tex; fig_event_flow.pdf,verified_frozen_evidence,Physical donor uniqueness is enforced.
Q04,Abstract; Results RQ3; Data,"The audit has 228 complete comparisons, 325 donor-insufficient events, and 10 estimator-input failures.",artifacts/real_transition_88101_event_audit.csv,v0.3.2,audit_status,group by audit_status,Count each status.,table_real_audit.tex; fig_event_flow.pdf,verified_frozen_evidence,Counts reconcile to 563.
Q05,Abstract; Experiments,"The stable synthetic benchmark has 146 physical target sites: 66 calibration and 80 evaluation sites with disjoint complete target-plus-donor footprints.",artifacts/stable_synthetic_case_manifest.json; artifacts/stable_synthetic_case_split_audit.json,v0.3.2,case_count; calibration_physical_sites; evaluation_physical_sites; all_input_physical_sites_disjoint,frozen stable_full_v2 manifest,Read fields directly.,table_data_summary.tex; fig_synthetic_metrics.pdf; fig_split_integrity.pdf,verified_frozen_evidence,The 80 evaluation targets have already been viewed and cannot be reused for tuning.
Q06,Abstract; Experiments; Results RQ1,Each local and matched regional perturbation variant has 400 evaluation samples.,artifacts/stable_synthetic_stable_full_v2_metrics.csv,v0.3.2,evaluation_instances,standard_synthetic_control aggregate row,"4,000 aggregate instances divided by 10 variants.",table_synthetic_metrics.tex; fig_synthetic_metrics.pdf,verified_frozen_evidence,Five local shapes plus five matched regional variants.
Q07,Abstract; Results RQ1; Results RQ2,Standard synthetic control aggregate local-effect MAE/AUPRC/macro-F1/regional FPR are 0.09983/0.91476/0.81641/0.140.,artifacts/stable_synthetic_stable_full_v2_metrics.csv,v0.3.2,local_effect_mae_log; average_precision; macro_f1; false_positive_rate,method=standard_synthetic_control aggregate row,Read and round with project half-up display rule.,table_synthetic_metrics.tex; table_all_methods.tex; fig_synthetic_metrics.pdf,verified_frozen_evidence,Benchmark-specific not universal performance.
Q08,Abstract; Results RQ1; Results RQ2,Fixed-prior and cross-validated MetaShift aggregate MAE/AUPRC/macro-F1/regional FPR are reported against standard synthetic control.,artifacts/stable_synthetic_stable_full_v2_metrics.csv,v0.3.2,local_effect_mae_log; average_precision; macro_f1; false_positive_rate,"method in metashift_v1_fixed, metashift_v2_cv aggregate rows",Read and round with project half-up display rule.,table_synthetic_metrics.tex; table_all_methods.tex; fig_synthetic_metrics.pdf,verified_frozen_evidence,No composite favorable score is used.
Q09,Abstract; Results RQ2,"Cross-validated MetaShift has a -0.00240 paired MAE difference versus standard synthetic control, 95% CI [-0.00772, 0.00347].",artifacts/stable_synthetic_stable_full_v2_bootstrap.csv,v0.3.2,mae_difference_log; bootstrap_95ci_lower; bootstrap_95ci_upper; clusters,comparison=metashift_v2_cv minus standard_synthetic_control,Read and half-up round to five decimals.,table_paired_bootstrap.tex; fig_paired_bootstrap.pdf,verified_frozen_evidence,The bootstrap interval crosses zero.
Q10,Results RQ2,"Fixed-prior MetaShift has a 0.00361 paired MAE difference versus standard synthetic control, 95% CI [-0.00401, 0.01163].",artifacts/stable_synthetic_stable_full_v2_bootstrap.csv,v0.3.2,mae_difference_log; bootstrap_95ci_lower; bootstrap_95ci_upper; clusters,comparison=metashift_v1_fixed minus standard_synthetic_control,Read and half-up round to five decimals.,table_paired_bootstrap.tex; fig_paired_bootstrap.pdf,verified_frozen_evidence,The bootstrap interval crosses zero.
Q11,Results RQ2; Experiments; Reproducibility,"Main and ablation experiments share 7,300 exactly aligned standard-synthetic-control rows to tolerance 1e-10.",artifacts/benchmark_ablation_alignment_stable_full_v2.json,v0.3.2,shared_standard_rows; all_rows_aligned; tolerance,all rows,Read fields directly.,table_reproducibility.tex; table_ablation.tex,verified_frozen_evidence,Guards against random-seed confounding in ablations.
Q12,Abstract; Results RQ3; Framework,"The real audit assigns 34 supported candidates, 122 not-supported events, and 407 inconclusive events.",artifacts/real_transition_88101_evidence_tier_summary.json,v0.3.2,counts.supported_candidate_discontinuity; counts.not_supported_by_available_evidence; counts.inconclusive_insufficient_evidence,all anchors,Read fields directly.,table_real_audit.tex; fig_evidence_tiers.pdf; table_evidence_tier_rules.tex,verified_frozen_evidence,Evidence tiers are not causal or fault labels.
Q13,Results RQ3,157 complete events have at least 50 stable post-transition time placebos; 128 have 100.,artifacts/time_placebo_summary.csv,v0.3.2,status; placebo_count,status starts complete_; placebo_count >=100,Count rows.,table_placebo_external.tex; fig_placebos.pdf,verified_frozen_evidence,71 anchors lack enough stable placebo dates.
Q14,Results RQ3,"71 complete events have raw time-placebo probability at most 0.10, while 40 pass the exploratory BH q<=0.10 screen.",artifacts/time_placebo_summary.csv; artifacts/real_transition_88101_evidence_tiers.csv,v0.3.2,placebo_p_value; placebo_q_value,complete time-placebo rows; q<=0.10,Count qualifying rows.,table_placebo_external.tex; fig_placebos.pdf,verified_frozen_evidence,Screening quantities are exploratory not causal p-values.
Q15,Results RQ3,The date-resampling comparison uses 200 resamples and has upper-tail probability 0.00498.,artifacts/time_placebo_date_permutations.csv,v0.3.2,permutation; mean_score_difference,all 200 permutations,(1 + count(mean_score_difference <= 0))/(200 + 1).,table_placebo_external.tex; fig_placebos.pdf,verified_frozen_evidence,Supports diagnostic difference from stable dates not physical causation.
Q16,Results RQ3,The donor-as-treated placebo table has 866 records and median standardized score 0.40831.,artifacts/donor_as_treated_placebos.csv,v0.3.2,standardized_score,all rows,Count rows and take median.,table_placebo_external.tex; fig_placebos.pdf,verified_frozen_evidence,Corrects the earlier draft's stale record count.
